Transaction_transaction_id,Account_acct_id
114,acct_0
144,acct_0
120,acct_0
219,acct_5
140,acct_14
255,acct_5
129,acct_0
132,acct_0
185,acct_0
105,acct_0
123,acct_0
153,acct_0
178,acct_14
248,acct_14
110,acct_14
128,acct_14
251,acct_14
247,acct_14
214,acct_5
117,acct_0
225,acct_5
137,acct_14
264,acct_5
245,acct_5
241,acct_0
125,acct_14
197,acct_5
118,acct_0
261,acct_14
237,acct_5
194,acct_5
139,acct_0
253,acct_14
213,acct_14
169,acct_0
145,acct_0
211,acct_5
111,acct_0
234,acct_5
134,acct_14
201,acct_5
210,acct_5
113,acct_14
222,acct_14
160,acct_0
151,acct_0
252,acct_5
263,acct_14
269,acct_14
157,acct_0
204,acct_0
130,acct_0
218,acct_5
176,acct_0
221,acct_14
257,acct_14
122,acct_14
212,acct_14
266,acct_5
268,acct_5
177,acct_5
215,acct_0
220,acct_14
143,acct_14
155,acct_14
262,acct_14
116,acct_14
184,acct_14
146,acct_14
121,acct_0
249,acct_0
229,acct_0
244,acct_14
224,acct_0
152,acct_14
209,acct_5
135,acct_0
115,acct_0
112,acct_0
271,acct_0
173,acct_0
233,acct_14
259,acct_5
256,acct_5
183,acct_5
260,acct_14
203,acct_5
174,acct_5
186,acct_14
254,acct_5
148,acct_0
223,acct_5
217,acct_14
236,acct_5
265,acct_0
195,acct_14
119,acct_14
199,acct_14
242,acct_5
200,acct_5
167,acct_14
216,acct_5
240,acct_14
243,acct_0
190,acct_5
226,acct_5
189,acct_0
107,acct_14
149,acct_14
141,acct_0
150,acct_0
131,acct_14
198,acct_14
207,acct_5
179,acct_5
205,acct_5
126,acct_0
193,acct_14
187,acct_0
227,acct_14
182,acct_14
172,acct_0
270,acct_14
168,acct_0
258,acct_0
228,acct_14
230,acct_14
180,acct_5
267,acct_0
158,acct_14
142,acct_0
170,acct_14
108,acct_0
235,acct_5
206,acct_0
127,acct_0
171,acct_0
188,acct_5
208,acct_5
156,acct_0
231,acct_5
250,acct_0
175,acct_0
109,acct_0
272,acct_0
166,acct_0
101,acct_14
154,acct_0
163,acct_0
104,acct_14
102,acct_0
106,acct_0
147,acct_0
191,acct_0
165,acct_0
246,acct_0
133,acct_0
202,acct_5
196,acct_0
136,acct_0
124,acct_0
138,acct_0
164,acct_14
239,acct_5
181,acct_14
162,acct_0
238,acct_5
161,acct_14
192,acct_14
159,acct_0
232,acct_5
103,acct_0
