Transaction_transaction_id,Account_acct_id,timestamp
185,acct_5,2020-01-19T01:00:00Z
251,acct_5,2020-07-25T01:00:00Z
247,acct_5,2020-03-06T01:00:00Z
214,acct_14,2020-06-11T01:00:00Z
219,acct_0,2020-11-10T01:00:00Z
255,acct_0,2020-11-14T01:00:00Z
178,acct_5,2020-06-03T01:00:00Z
248,acct_0,2020-04-11T01:00:00Z
261,acct_5,2020-05-14T01:00:00Z
201,acct_0,2020-05-25T01:00:00Z
210,acct_0,2020-02-08T01:00:00Z
237,acct_0,2020-05-25T01:00:00Z
194,acct_14,2020-10-11T01:00:00Z
225,acct_0,2020-05-10T01:00:00Z
264,acct_14,2020-08-16T01:00:00Z
245,acct_14,2020-01-11T01:00:00Z
241,acct_5,2020-09-08T01:00:00Z
197,acct_14,2020-01-19T01:00:00Z
213,acct_0,2020-05-14T01:00:00Z
257,acct_5,2020-01-19T01:00:00Z
253,acct_5,2020-09-06T01:00:00Z
211,acct_0,2020-03-24T01:00:00Z
234,acct_14,2020-02-01T01:00:00Z
263,acct_0,2020-07-14T01:00:00Z
221,acct_0,2020-01-15T01:00:00Z
212,acct_0,2020-04-15T01:00:00Z
176,acct_5,2020-04-17T01:00:00Z
269,acct_0,2020-01-02T01:00:00Z
204,acct_14,2020-08-11T01:00:00Z
218,acct_14,2020-10-17T01:00:00Z
222,acct_0,2020-02-11T01:00:00Z
252,acct_0,2020-08-07T01:00:00Z
215,acct_5,2020-07-16T01:00:00Z
220,acct_5,2020-12-13T01:00:00Z
266,acct_0,2020-10-03T01:00:00Z
268,acct_14,2020-12-15T01:00:00Z
177,acct_14,2020-05-07T01:00:00Z
262,acct_5,2020-06-28T01:00:00Z
259,acct_14,2020-03-01T01:00:00Z
249,acct_14,2020-05-13T01:00:00Z
209,acct_14,2020-01-08T01:00:00Z
224,acct_5,2020-04-07T01:00:00Z
233,acct_5,2020-01-07T01:00:00Z
217,acct_5,2020-09-24T01:00:00Z
236,acct_0,2020-04-11T01:00:00Z
271,acct_5,2020-03-03T01:00:00Z
256,acct_0,2020-12-13T01:00:00Z
203,acct_0,2020-07-09T01:00:00Z
174,acct_0,2020-02-14T01:00:00Z
173,acct_14,2020-01-16T01:00:00Z
183,acct_0,2020-11-27T01:00:00Z
260,acct_0,2020-04-11T01:00:00Z
186,acct_5,2020-02-02T01:00:00Z
254,acct_0,2020-10-03T01:00:00Z
223,acct_14,2020-03-08T01:00:00Z
265,acct_5,2020-09-13T01:00:00Z
216,acct_0,2020-08-04T01:00:00Z
243,acct_5,2020-11-20T01:00:00Z
184,acct_0,2020-12-21T01:00:00Z
189,acct_5,2020-05-18T01:00:00Z
229,acct_5,2020-09-24T01:00:00Z
244,acct_0,2020-12-16T01:00:00Z
199,acct_5,2020-03-09T01:00:00Z
198,acct_0,2020-02-09T01:00:00Z
207,acct_14,2020-11-15T01:00:00Z
179,acct_14,2020-07-08T01:00:00Z
193,acct_5,2020-09-21T01:00:00Z
205,acct_14,2020-09-06T01:00:00Z
187,acct_5,2020-03-17T01:00:00Z
195,acct_0,2020-11-07T01:00:00Z
242,acct_14,2020-10-27T01:00:00Z
228,acct_5,2020-08-15T01:00:00Z
200,acct_0,2020-04-06T01:00:00Z
240,acct_0,2020-08-08T01:00:00Z
208,acct_14,2020-12-01T01:00:00Z
190,acct_14,2020-06-24T01:00:00Z
226,acct_14,2020-06-21T01:00:00Z
227,acct_5,2020-07-11T01:00:00Z
182,acct_0,2020-10-21T01:00:00Z
258,acct_14,2020-02-25T01:00:00Z
231,acct_0,2020-11-18T01:00:00Z
230,acct_0,2020-10-16T01:00:00Z
180,acct_14,2020-08-06T01:00:00Z
267,acct_5,2020-11-10T01:00:00Z
270,acct_0,2020-02-22T01:00:00Z
191,acct_14,2020-07-04T01:00:00Z
250,acct_5,2020-06-19T01:00:00Z
175,acct_5,2020-03-05T01:00:00Z
272,acct_14,2020-04-24T01:00:00Z
235,acct_0,2020-03-21T01:00:00Z
206,acct_14,2020-10-01T01:00:00Z
188,acct_14,2020-04-22T01:00:00Z
246,acct_5,2020-02-24T01:00:00Z
192,acct_5,2020-08-09T01:00:00Z
196,acct_5,2020-12-11T01:00:00Z
239,acct_0,2020-07-25T01:00:00Z
202,acct_0,2020-06-18T01:00:00Z
181,acct_0,2020-09-25T01:00:00Z
238,acct_14,2020-06-05T01:00:00Z
232,acct_0,2020-12-10T01:00:00Z
