Sensor_sensor_name,timestep,Tower_tower_name
103318117,5,Bellevue
1032128,3,Fremont
1287761,2,UofWA
1240117,4,LakeCity
1302595,5,CentralDistrict
1303087,1,Belltown
1230452,3,UofWA
1303257,1,FirstHill
1236912,4,SeattleUniversity
1239093,3,WestLake
104302115,3,Medina
1302111,4,Belltown
1239711,4,CentralDistrict
1048068,4,Burien
1303963,2,WarrenMagnusonPark
1010054,1,Kennydale
1004639,2,WhiteCenter
128216313,1,Eastgate
1301174,5,HallerLake
1027838,3,BeaconHill
1269409,2,Broadview
1306931,1,Georgetown
1290383,2,Georgetown
126947610,1,Eastgate
1242364,1,Youngstown
1031129,5,Youngstown
1059502,5,Burien
1054325,2,HarborIsland
1280298,2,Greenwood
1031441,3,WhiteCenter
1034753,5,MountBaker
1270653,1,HarborIsland
1235466,2,Georgetown
1049757,5,Evergreen
1270717,5,WestLake
1248589,1,Fremont
1246797,1,UofWA
1223234,1,Burien
1306548,1,Belltown
1269463,5,GreenLake
1302111,2,Seattle
1288092,1,BeaconHill
1303963,5,Wallingford
1307187,2,MadisonValley
1059508,4,PioneerSquare
1280377,2,InternationalDistrict
1270795,1,PioneerSquare
1010054,5,Tukwila
1246177,2,MountBaker
1302832,3,Georgetown
1259695,5,WhiteCenter
1049589,3,SewardPark
1059188,2,BeaconHill
1247290,5,InternationalDistrict
1049757,1,Northgate
10430211,1,CougarMountainPark
1306434,5,SeattleUniversity
1032456,2,Fremont
1035508,5,WhiteCenter
1032456,5,WestLake
1233363,5,HallerLake
1240117,3,HallerLake
1303087,5,Seattle
1035507,1,InternationalDistrict
1307187,5,SeattleUniversity
1230839,5,WhiteCenter
1224666,5,WhiteCenter
1023820,5,Kennydale
1002688,2,Georgetown
1297580,4,GreenLake
1302833,2,WestSeattle
1027844,5,Evergreen
1010054,3,SewardPark
1300879,3,SewardPark
1301383,1,FirstHill
1301175,5,PioneerSquare
1301174,4,Evergreen
1306690,2,HallerLake
121001920,4,Newcastle
1027841,4,InternationalDistrict
122974121,4,Eastgate
1004773,5,SewardPark
1059188,1,MountBaker
1031441,5,RainierValley
1301920,1,LakeCity
1033097,1,InternationalDistrict
1235466,4,Youngstown
1242723,2,Northgate
1270653,5,BeaconHill
130336714,3,Kennydale
1240117,1,Northgate
1010055,2,WhiteCenter
1031442,5,RainierValley
1297202,3,PioneerSquare
130336727,1,PioneerSquare
1306548,5,CapitolHill
1302078,4,Belltown
1239093,5,InternationalDistrict
1237824,4,RainierValley
1302111,1,WestLake
1307757,5,PioneerSquare
1027840,2,Georgetown
1280634,1,HarborIsland
1239711,5,WestLake
1297081,2,MadisonPark
122974132,3,Bellevue
128216313,2,Kennydale
1020104,2,Leschi
1303797,5,CapitolHill
1056955,3,RainierValley
1046600,2,Georgetown
1246177,1,RainierValley
1223234,5,NormandyPark
1308463,1,UofWA
