tower_name,coordinates,latitude,longitude
Renton,POINT (-122.203199 47.47896),47.47895812988281,-122.20320129394531
MapleLeaf,POINT (-122.322603 47.69395),47.69395065307617,-122.32260131835938
MountainlakeTerrace,POINT (-122.306926 47.791277),47.79127883911133,-122.30692291259766
Lynnwood,POINT (-122.308106 47.828134),47.82813262939453,-122.30810546875
CapitolHill,POINT (-122.317517 47.623984),47.623985290527344,-122.31752014160156
PhinneyRidge,POINT (-122.353362 47.671008),47.6710090637207,-122.35336303710938
MountBaker,POINT (-122.289409 47.577952),47.57795333862305,-122.2894058227539
SeaTac,POINT (-122.282249 47.444218),47.444217681884766,-122.2822494506836
Wallingford,POINT (-122.335415 47.659504),47.65950393676758,-122.33541870117188
Medina,POINT (-122.226847 47.620248),47.62024688720703,-122.22684478759766
YarrowPoint,POINT (-122.217387 47.647282),47.647281646728516,-122.2173843383789
SewardPark,POINT (-122.250862 47.555192),47.55519104003906,-122.25086212158203
Newcastle,POINT (-122.156438 47.539372),47.539371490478516,-122.15644073486328
Bellevue,POINT (-122.192428 47.614629),47.614627838134766,-122.19242858886719
CougarMountainPark,POINT (-122.098908 47.528016),47.52801513671875,-122.09890747070312
BeaconHill,POINT (-122.310271 47.577195),47.57719421386719,-122.31027221679688
Tukwila,POINT (-122.256326 47.462358),47.46235656738281,-122.2563247680664
Delridge,POINT (-122.363205 47.551611),47.551612854003906,-122.36320495605469
NormandyPark,POINT (-122.337528 47.435394),47.435394287109375,-122.3375244140625
CanyonPark,POINT (-122.194395 47.791888),47.79188919067383,-122.19439697265625
UofWA,POINT (-122.304599 47.655625),47.65562438964844,-122.30459594726562
Esperance,POINT (-122.346755 47.794967),47.79496765136719,-122.34675598144531
Fremont,POINT (-122.348548 47.651),47.6510009765625,-122.34854888916016
MadisonPark,POINT (-122.283182 47.635205),47.63520431518555,-122.2831802368164
HallerLake,POINT (-122.331215 47.720593),47.7205924987793,-122.33121490478516
MadisonValley,POINT (-122.296401 47.619587),47.61958694458008,-122.29640197753906
PioneerSquare,POINT (-122.331145 47.602751),47.602752685546875,-122.33114624023438
Redmond,POINT (-122.123169 47.669436),47.669437408447266,-122.1231689453125
FirstHill,POINT (-122.325313 47.609568),47.60956954956055,-122.32530975341797
Kent,POINT (-122.226728 47.383359),47.383358001708984,-122.22673034667969
WashingtonPark,POINT (-122.287817 47.627455),47.62745666503906,-122.2878189086914
Magnolia,POINT (-122.399708 47.647068),47.64706802368164,-122.39971160888672
