out_public_key,in_public_key,datetime,trust
1128,13,2016-01-24T20:12:03.757280,2
13,1128,2016-01-24T18:53:52.985710,1
2731,4897,2016-01-24T18:50:34.034020,5
2731,3901,2016-01-24T18:50:28.049490,5
4499,1810,2016-01-24T00:14:41.647290,1
1810,4499,2016-01-23T23:53:07.232110,2
1953,5655,2016-01-23T08:32:45.540190,-10
13,4608,2016-01-20T14:22:41.371650,2
2045,4608,2016-01-20T14:16:53.579800,2
4608,2045,2016-01-20T14:13:25.108170,2
4608,13,2016-01-20T13:09:49.467630,2
41,1052,2016-01-20T12:47:31.315360,1
3901,2731,2016-01-20T05:48:48.972690,1
2731,4296,2016-01-20T04:28:51.403160,1
5903,2045,2016-01-18T14:46:11.519350,5
5983,1810,2016-01-15T00:48:35.057090,4
1810,5983,2016-01-15T00:44:14.272340,4
3837,3714,2016-01-14T16:46:11.887210,2
3804,361,2016-01-14T01:01:44.086120,4
361,3804,2016-01-13T16:06:28.665510,4
361,5449,2016-01-13T16:04:28.513600,2
2045,5903,2016-01-12T10:28:48.989520,1
1018,2124,2016-01-11T17:50:38.736680,5
3714,3837,2016-01-11T11:40:49.619870,2
5928,1396,2016-01-09T18:28:20.044630,1
481,1810,2016-01-09T18:01:17.247960,6
2067,2045,2016-01-08T13:54:26.507140,7
2067,1639,2016-01-08T13:54:01.611820,1
1639,2067,2016-01-08T13:53:13.864270,1
5688,5318,2016-01-07T10:55:49.281950,1
5318,5688,2016-01-07T10:54:56.424940,1
5983,5921,2016-01-07T02:16:51.756460,1
5921,5983,2016-01-07T02:14:48.483810,1
4291,905,2016-01-06T22:17:52.547210,1
1018,905,2016-01-06T22:17:47.505190,1
1052,41,2016-01-04T14:05:45.525270,2
35,6005,2016-01-04T06:18:57.107150,1
35,6004,2016-01-04T06:18:39.258830,1
2388,1731,2016-01-04T04:13:59.303510,2
1731,2388,2016-01-04T04:12:19.566430,2
1396,3345,2016-01-02T20:49:53.247220,-1
5449,361,2016-01-02T16:33:27.016740,2
4205,3,2015-12-29T11:39:25.746690,-10
5811,6003,2015-12-28T03:56:10.154110,1
1396,3878,2015-12-27T15:48:08.812260,1
3919,3345,2015-12-26T03:09:12.213640,-10
96,3345,2015-12-26T03:07:41.698460,-10
3714,1316,2015-12-23T19:09:06.035130,1
1810,3714,2015-12-23T19:02:19.307940,4
3714,1810,2015-12-23T19:00:45.162360,4
1316,2045,2015-12-23T15:21:33.340630,1
5983,51,2015-12-23T12:03:09.167870,1
51,5983,2015-12-23T11:56:01.058040,1
2045,1316,2015-12-22T07:33:43.183210,1
